iter	Passed	Remaining
0	75	37814
1	160	40013
2	244	40441
3	334	41469
4	417	41298
5	498	41031
6	579	40780
7	642	39507
8	723	39467
9	802	39329
10	884	39326
11	946	38508
12	1009	37801
13	1076	37358
14	1137	36769
15	1203	36391
16	1281	36404
17	1366	36597
18	1452	36772
19	1535	36863
20	1617	36893
21	1698	36906
22	1780	36924
23	1844	36589
24	1925	36591
25	1990	36294
26	2073	36321
27	2155	36341
28	2238	36351
29	2274	35637
30	2322	35137
31	2387	34912
32	2469	34951
33	2550	34959
34	2632	34969
35	2713	34973
36	2795	34986
37	2860	34782
38	2941	34772
39	3002	34527
40	3084	34527
41	3163	34498
42	3246	34503
43	3311	34320
44	3376	34143
45	3443	33984
46	3524	33967
47	3591	33818
48	3663	33715
49	3727	33544
50	3808	33528
51	3880	33435
52	3932	33166
53	3994	32991
54	4048	32757
55	4130	32747
56	4211	32732
57	4293	32719
58	4379	32732
59	4440	32562
60	4513	32482
61	4595	32462
62	4649	32251
63	4733	32244
64	4815	32227
65	4887	32136
66	4914	31760
67	4996	31740
68	5079	31730
69	5161	31707
70	5243	31685
71	5312	31580
72	5373	31430
73	5456	31412
74	5538	31385
75	5619	31352
76	5680	31208
77	5744	31079
78	5818	31007
79	5886	30903
80	5968	30873
81	6052	30853
82	6135	30826
83	6202	30717
84	6286	30691
85	6350	30570
86	6418	30471
87	6479	30337
88	6525	30136
89	6575	29955
90	6658	29926
91	6731	29852
92	6794	29734
93	6876	29698
94	6949	29626
95	7032	29595
96	7101	29504
97	7154	29347
98	7217	29233
99	7281	29124
100	7345	29019
101	7413	28928
102	7464	28771
103	7530	28674
104	7580	28517
105	7642	28406
106	7709	28315
107	7790	28276
108	7855	28178
109	7923	28092
110	8005	28056
111	8056	27909
112	8082	27681
113	8116	27480
114	8197	27444
115	8268	27373
116	8332	27275
117	8364	27078
118	8432	26998
119	8501	26920
120	8576	26862
121	8642	26778
122	8710	26698
123	8778	26617
124	8842	26526
125	8891	26393
126	8960	26316
127	9043	26282
128	9109	26199
129	9181	26131
130	9244	26039
131	9306	25945
132	9389	25910
133	9453	25821
134	9502	25692
135	9584	25653
136	9669	25619
137	9729	25522
138	9802	25457
139	9855	25343
140	9902	25212
141	9949	25083
142	10004	24975
143	10085	24933
144	10168	24895
145	10234	24814
146	10275	24675
147	10320	24545
148	10370	24429
149	10443	24367
150	10495	24257
151	10537	24125
152	10601	24042
153	10668	23969
154	10749	23927
155	10811	23841
156	10874	23757
157	10956	23714
158	11019	23633
159	11082	23550
160	11126	23426
161	11206	23382
162	11289	23341
163	11354	23262
164	11395	23136
165	11439	23017
166	11504	22941
167	11588	22900
168	11654	22826
169	11737	22785
170	11797	22698
171	11883	22660
172	11951	22589
173	12022	22525
174	12104	22480
175	12168	22401
176	12210	22283
177	12274	22205
178	12359	22164
179	12429	22096
180	12493	22018
181	12559	21944
182	12586	21803
183	12654	21733
184	12735	21685
185	12804	21615
186	12842	21495
187	12916	21435
188	12999	21390
189	13060	21309
190	13121	21228
191	13168	21125
192	13251	21078
193	13307	20990
194	13370	20912
195	13412	20803
196	13474	20724
197	13525	20630
198	13598	20568
199	13667	20501
200	13720	20409
201	13781	20331
202	13834	20240
203	13865	20119
204	13911	20018
205	13979	19950
206	14043	19877
207	14122	19825
208	14162	19718
209	14225	19644
210	14288	19570
211	14355	19502
212	14409	19416
213	14449	19310
214	14530	19261
215	14584	19176
216	14645	19100
217	14707	19024
218	14789	18976
219	14871	18927
220	14919	18835
221	14949	18720
222	15001	18634
223	15069	18568
224	15122	18483
225	15173	18395
226	15235	18323
227	15291	18242
228	15353	18169
229	15404	18082
230	15469	18014
231	15534	17944
232	15617	17896
233	15687	17832
234	15740	17749
235	15814	17690
236	15887	17630
237	15970	17580
238	16010	17483
239	16074	17413
240	16142	17347
241	16206	17277
242	16287	17225
243	16350	17154
244	16432	17103
245	16500	17036
246	16580	16982
247	16624	16892
248	16697	16831
249	16781	16781
250	16865	16730
251	16916	16648
252	16962	16560
253	17022	16486
254	17087	16417
255	17154	16350
256	17235	16296
257	17316	16242
258	17398	16189
259	17460	16117
260	17543	16064
261	17598	15986
262	17680	15933
263	17735	15854
264	17799	15784
265	17849	15702
266	17903	15623
267	17966	15552
268	17998	15456
269	18063	15387
270	18135	15325
271	18216	15269
272	18299	15215
273	18344	15131
274	18427	15077
275	18510	15023
276	18549	14933
277	18613	14863
278	18656	14778
279	18707	14698
280	18790	14644
281	18856	14576
282	18937	14521
283	19020	14466
284	19070	14386
285	19152	14330
286	19217	14262
287	19300	14207
288	19353	14129
289	19436	14074
290	19519	14019
291	19582	13948
292	19624	13864
293	19707	13808
294	19780	13746
295	19862	13689
296	19916	13612
297	19982	13545
298	20048	13477
299	20112	13408
300	20161	13329
301	20217	13254
302	20280	13185
303	20330	13107
304	20401	13043
305	20449	12964
306	20520	12900
307	20601	12842
308	20673	12778
309	20717	12697
310	20790	12634
311	20854	12566
312	20907	12490
313	20973	12424
314	21039	12356
315	21104	12288
316	21170	12221
317	21239	12155
318	21303	12087
319	21387	12030
320	21461	11967
321	21536	11905
322	21617	11846
323	21682	11778
324	21765	11719
325	21833	11653
326	21889	11580
327	21960	11516
328	22013	11441
329	22096	11383
330	22178	11323
331	22245	11256
332	22329	11198
333	22412	11139
334	22496	11080
335	22544	11003
336	22599	10930
337	22681	10870
338	22747	10803
339	22799	10729
340	22845	10652
341	22926	10591
342	22975	10516
343	23036	10446
344	23104	10380
345	23171	10313
346	23256	10254
347	23330	10190
348	23415	10130
349	23479	10062
350	23550	9997
351	23632	9936
352	23717	9876
353	23781	9808
354	23849	9741
355	23930	9679
356	24012	9618
357	24094	9556
358	24176	9495
359	24240	9426
360	24323	9365
361	24409	9305
362	24492	9243
363	24575	9182
364	24657	9119
365	24725	9052
366	24806	8989
367	24887	8926
368	24971	8865
369	25052	8802
370	25134	8739
371	25217	8676
372	25300	8614
373	25381	8550
374	25462	8487
375	25546	8424
376	25627	8361
377	25711	8298
378	25794	8235
379	25874	8170
380	25956	8107
381	26035	8042
382	26118	7978
383	26200	7914
384	26282	7850
385	26363	7786
386	26447	7722
387	26530	7658
388	26613	7594
389	26698	7530
390	26779	7465
391	26860	7400
392	26940	7334
393	27023	7270
394	27103	7204
395	27183	7139
396	27263	7073
397	27345	7008
398	27426	6942
399	27508	6877
400	27591	6811
401	27674	6746
402	27757	6681
403	27842	6615
404	27920	6549
405	28000	6482
406	28082	6416
407	28165	6350
408	28246	6284
409	28326	6217
410	28405	6151
411	28488	6084
412	28569	6018
413	28648	5951
414	28731	5884
415	28811	5817
416	28897	5751
417	28980	5685
418	29062	5618
419	29143	5551
420	29226	5484
421	29306	5416
422	29388	5349
423	29470	5282
424	29552	5215
425	29634	5147
426	29715	5080
427	29796	5012
428	29880	4945
429	29961	4877
430	30043	4809
431	30124	4741
432	30207	4674
433	30289	4606
434	30373	4538
435	30453	4470
436	30534	4401
437	30616	4333
438	30699	4265
439	30781	4197
440	30861	4128
441	30945	4060
442	31026	3992
443	31108	3923
444	31190	3855
445	31280	3787
446	31359	3718
447	31442	3649
448	31521	3580
449	31602	3511
450	31684	3442
451	31765	3373
452	31844	3303
453	31926	3234
454	32009	3165
455	32090	3096
456	32171	3027
457	32251	2957
458	32331	2887
459	32414	2818
460	32497	2749
461	32578	2679
462	32659	2609
463	32739	2540
464	32821	2470
465	32902	2400
466	32982	2330
467	33063	2260
468	33147	2190
469	33228	2120
470	33308	2050
471	33388	1980
472	33470	1910
473	33552	1840
474	33634	1770
475	33716	1699
476	33797	1629
477	33877	1559
478	33958	1488
479	34040	1418
480	34124	1347
481	34185	1276
482	34267	1206
483	34350	1135
484	34432	1064
485	34492	993
486	34575	922
487	34654	852
488	34716	780
489	34798	710
490	34879	639
491	34961	568
492	35023	497
493	35103	426
494	35164	355
495	35248	284
496	35308	213
497	35370	142
498	35450	71
499	35531	0
