iter	Passed	Remaining
0	38	19434
1	76	19155
2	113	18851
3	150	18638
4	187	18564
5	224	18490
6	266	18769
7	301	18571
8	337	18413
9	371	18184
10	406	18073
11	440	17929
12	475	17822
13	511	17747
14	547	17689
15	585	17708
16	621	17659
17	657	17596
18	691	17514
19	726	17443
20	738	16851
21	774	16818
22	809	16793
23	845	16765
24	880	16728
25	894	16302
26	928	16258
27	963	16238
28	985	16006
29	1020	15981
30	1053	15944
31	1089	15931
32	1121	15874
33	1156	15850
34	1192	15838
35	1229	15844
36	1245	15591
37	1256	15278
38	1298	15346
39	1342	15433
40	1386	15519
41	1426	15560
42	1464	15561
43	1502	15567
44	1536	15534
45	1574	15540
46	1611	15530
47	1646	15504
48	1682	15482
49	1703	15335
50	1738	15308
51	1749	15068
52	1783	15046
53	1818	15016
54	1853	14997
55	1888	14975
56	1900	14773
57	1936	14754
58	1971	14735
59	2006	14714
60	2027	14592
61	2041	14421
62	2075	14395
63	2110	14374
64	2143	14347
65	2180	14337
66	2214	14311
67	2250	14296
68	2287	14290
69	2320	14254
70	2356	14237
71	2390	14212
72	2407	14080
73	2442	14058
74	2455	13917
75	2466	13761
76	2501	13742
77	2538	13732
78	2573	13715
79	2608	13693
80	2643	13675
81	2680	13663
82	2715	13641
83	2750	13620
84	2785	13601
85	2797	13464
86	2831	13442
87	2866	13418
88	2878	13292
89	2914	13276
90	2936	13198
91	2972	13181
92	2980	13044
93	2992	12926
94	3028	12913
95	3065	12898
96	3101	12884
97	3135	12860
98	3170	12843
99	3187	12751
100	3193	12616
101	3228	12595
102	3264	12581
103	3275	12471
104	3288	12371
105	3323	12353
106	3358	12337
107	3394	12320
108	3417	12260
109	3453	12244
110	3492	12239
111	3531	12234
112	3568	12219
113	3604	12203
114	3615	12103
115	3652	12089
116	3657	11973
117	3673	11893
118	3687	11806
119	3723	11789
120	3757	11768
121	3793	11752
122	3826	11727
123	3833	11623
124	3849	11548
125	3885	11531
126	3894	11438
127	3929	11419
128	3963	11399
129	3998	11381
130	4033	11361
131	4068	11342
132	4101	11317
133	4136	11299
134	4170	11274
135	4207	11260
136	4219	11179
137	4230	11096
138	4264	11076
139	4300	11057
140	4335	11038
141	4370	11018
142	4406	11000
143	4422	10934
144	4460	10921
145	4499	10910
146	4537	10896
147	4573	10877
148	4608	10855
149	4643	10835
150	4679	10815
151	4694	10747
152	4729	10725
153	4737	10644
154	4754	10581
155	4771	10521
156	4782	10447
157	4818	10429
158	4854	10411
159	4866	10341
160	4902	10323
161	4938	10303
162	4974	10283
163	5009	10263
164	5042	10237
165	5059	10180
166	5096	10161
167	5132	10142
168	5164	10115
169	5199	10093
170	5235	10072
171	5271	10051
172	5287	9994
173	5293	9918
174	5306	9854
175	5341	9833
176	5378	9814
177	5390	9750
178	5425	9730
179	5460	9707
180	5482	9661
181	5503	9616
182	5515	9554
183	5552	9535
184	5563	9473
185	5598	9451
186	5633	9429
187	5667	9405
188	5703	9385
189	5739	9364
190	5755	9311
191	5790	9289
192	5826	9267
193	5862	9246
194	5897	9224
195	5911	9168
196	5947	9147
197	5951	9078
198	5986	9054
199	6022	9033
200	6058	9012
201	6093	8989
202	6127	8965
203	6161	8939
204	6171	8881
205	6203	8853
206	6239	8832
207	6280	8816
208	6289	8757
209	6323	8732
210	6345	8690
211	6355	8634
212	6390	8610
213	6426	8588
214	6462	8566
215	6498	8543
216	6533	8520
217	6547	8469
218	6559	8416
219	6569	8360
220	6590	8319
221	6625	8297
222	6647	8257
223	6657	8202
224	6691	8178
225	6726	8155
226	6743	8109
227	6778	8087
228	6813	8063
229	6848	8039
230	6884	8017
231	6920	7994
232	6955	7971
233	6991	7947
234	7027	7924
235	7061	7898
236	7077	7853
237	7112	7830
238	7149	7807
239	7185	7784
240	7219	7758
241	7254	7733
242	7291	7711
243	7329	7690
244	7367	7668
245	7404	7645
246	7440	7621
247	7476	7597
248	7511	7572
249	7546	7546
250	7579	7519
251	7615	7495
252	7648	7467
253	7660	7418
254	7693	7391
255	7706	7345
256	7740	7318
257	7775	7293
258	7811	7268
259	7821	7219
260	7855	7193
261	7891	7168
262	7907	7125
263	7928	7087
264	7963	7061
265	7998	7036
266	8034	7011
267	8070	6986
268	8081	6939
269	8115	6913
270	8127	6867
271	8143	6826
272	8159	6784
273	8194	6758
274	8230	6733
275	8241	6689
276	8276	6663
277	8293	6622
278	8310	6582
279	8345	6557
280	8361	6517
281	8378	6476
282	8400	6441
283	8435	6415
284	8469	6388
285	8504	6363
286	8539	6337
287	8574	6311
288	8610	6286
289	8643	6259
290	8653	6214
291	8666	6173
292	8701	6147
293	8736	6121
294	8772	6096
295	8811	6072
296	8847	6047
297	8879	6019
298	8914	5992
299	8930	5953
300	8965	5927
301	9001	5901
302	9017	5863
303	9033	5824
304	9045	5783
305	9078	5755
306	9113	5729
307	9148	5703
308	9170	5668
309	9195	5635
310	9211	5598
311	9245	5571
312	9257	5530
313	9292	5504
314	9327	5478
315	9363	5452
316	9398	5425
317	9433	5398
318	9467	5372
319	9502	5345
320	9538	5318
321	9574	5292
322	9609	5266
323	9644	5239
324	9677	5210
325	9712	5183
326	9722	5143
327	9738	5106
328	9773	5079
329	9807	5052
330	9842	5025
331	9878	4998
332	9910	4970
333	9932	4936
334	9966	4909
335	10001	4881
336	10033	4853
337	10050	4816
338	10066	4781
339	10100	4753
340	10114	4715
341	10127	4678
342	10161	4651
343	10197	4624
344	10231	4596
345	10267	4570
346	10303	4542
347	10336	4514
348	10350	4478
349	10384	4450
350	10418	4422
351	10451	4394
352	10487	4367
353	10522	4339
354	10556	4311
355	10591	4284
356	10627	4256
357	10662	4229
358	10697	4201
359	10733	4174
360	10768	4146
361	10802	4118
362	10837	4090
363	10873	4062
364	10895	4029
365	10930	4002
366	10965	3973
367	11000	3945
368	11035	3917
369	11072	3890
370	11107	3862
371	11141	3833
372	11176	3805
373	11211	3777
374	11246	3748
375	11280	3720
376	11314	3691
377	11349	3662
378	11384	3634
379	11419	3606
380	11453	3577
381	11489	3549
382	11523	3520
383	11558	3491
384	11592	3462
385	11627	3434
386	11661	3405
387	11696	3376
388	11730	3347
389	11765	3318
390	11800	3289
391	11835	3260
