iter	F1	Logloss
0	0.6295620438	0.6307969755
1	0.6576819407	0.5649532131
2	0.6504065041	0.50932918
3	0.6492805755	0.4634239353
4	0.6428571429	0.4148676904
5	0.6460418562	0.3823173222
6	0.6606660666	0.3497054778
7	0.6405109489	0.3325234642
8	0.6541218638	0.3056313807
9	0.656529517	0.283674895
10	0.669619132	0.2638022316
11	0.6754850088	0.2437665269
12	0.6807017544	0.2240487092
13	0.6864628821	0.2090292185
14	0.6893542757	0.197306073
15	0.6989619377	0.1851904476
16	0.7122117848	0.1736040078
17	0.7193877551	0.1612247096
18	0.7252747253	0.1547385242
19	0.7189097104	0.1482770674
20	0.7318718381	0.140504582
21	0.7329401853	0.1335866754
22	0.7409891031	0.1262068489
