iter	Passed	Remaining
0	140	70201
1	209	52231
2	288	47751
3	371	46100
4	436	43241
5	494	40748
6	558	39304
7	585	35990
8	666	36371
9	731	35853
10	813	36154
11	866	35228
12	936	35093
13	1002	34785
14	1070	34624
15	1136	34387
16	1284	36502
17	1485	39780
18	1567	39676
19	1634	39235
20	1716	39157
21	1792	38953
22	1874	38885
23	1957	38818
24	2044	38851
25	2127	38777
26	2205	38641
27	2288	38571
28	2369	38490
29	2451	38408
30	2535	38364
31	2617	38281
32	2701	38227
33	2784	38158
34	2866	38084
35	2947	37995
36	3029	37912
37	3110	37823
38	3192	37734
39	3241	37279
40	3323	37204
41	3403	37112
42	3486	37055
43	3568	36981
44	3648	36892
45	3728	36799
46	3793	36566
47	3874	36488
48	3956	36419
49	4036	36327
50	4116	36244
51	4177	35993
52	4251	35857
53	4318	35670
54	4398	35588
55	4478	35508
56	4558	35431
57	4641	35368
58	4724	35311
59	4806	35249
60	4886	35168
61	4956	35015
62	5018	34809
63	5100	34747
64	5162	34551
65	5211	34270
66	5284	34151
67	5366	34092
68	5447	34026
69	5527	33955
70	5607	33884
71	5665	33678
72	5744	33602
73	5825	33534
74	5876	33300
75	5935	33113
76	6016	33050
77	6096	32984
78	6176	32912
79	6238	32753
80	6301	32594
81	6372	32481
82	6423	32272
83	6503	32207
84	6566	32059
85	6634	31939
86	6713	31870
87	6777	31733
88	6863	31693
89	6942	31625
90	7008	31497
91	7088	31437
92	7168	31373
93	7229	31226
94	7309	31163
95	7382	31067
96	7445	30933
97	7525	30871
98	7608	30818
99	7687	30751
100	7770	30696
101	7852	30640
102	7903	30464
103	7967	30337
104	8039	30243
105	8120	30184
106	8202	30127
107	8267	30006
108	8337	29907
109	8389	29746
110	8452	29620
111	8522	29522
112	8604	29468
113	8677	29380
114	8736	29246
115	8802	29137
116	8884	29082
117	8947	28964
118	9011	28851
119	9090	28786
120	9172	28730
121	9254	28673
122	9336	28617
123	9386	28461
124	9451	28354
125	9478	28135
126	9560	28079
127	9627	27980
128	9710	27926
129	9792	27871
130	9865	27788
131	9946	27730
132	10014	27633
133	10077	27524
134	10138	27410
135	10218	27349
136	10286	27254
137	10339	27123
138	10381	26962
139	10462	26902
140	10543	26845
141	10587	26692
142	10670	26639
143	10751	26579
144	10832	26520
145	10902	26435
146	10970	26343
147	11051	26283
148	11096	26140
149	11167	26058
150	11216	25923
151	11297	25865
152	11364	25775
153	11428	25677
154	11511	25621
155	11557	25484
156	11621	25390
157	11683	25289
158	11750	25201
159	11819	25117
160	11873	24999
161	11938	24907
162	12006	24824
163	12081	24752
164	12128	24624
165	12192	24531
166	12259	24444
167	12307	24321
168	12387	24261
169	12467	24201
170	12519	24086
171	12572	23975
172	12655	23920
173	12698	23791
174	12767	23711
175	12815	23591
176	12877	23498
177	12942	23412
178	12999	23311
179	13066	23229
180	13120	23124
181	13205	23074
182	13291	23023
183	13340	22910
184	13423	22856
185	13491	22776
186	13539	22663
187	13602	22574
188	13683	22515
189	13765	22460
190	13839	22389
191	13908	22312
192	13972	22225
193	14042	22149
194	14126	22095
