iter	Passed	Remaining
0	43	21747
1	81	20390
2	118	19609
3	136	16921
4	159	15801
5	173	14253
6	206	14578
7	241	14865
8	256	13975
9	290	14225
10	303	13480
11	319	12982
12	354	13267
13	387	13462
14	420	13607
15	454	13733
16	487	13858
17	522	13982
18	557	14103
19	591	14192
20	625	14270
21	659	14325
22	693	14375
23	727	14431
24	762	14484
25	796	14520
26	830	14544
27	864	14568
28	898	14587
29	933	14620
30	966	14623
31	1000	14630
32	1034	14641
33	1069	14657
34	1103	14666
35	1119	14430
36	1153	14435
37	1188	14447
38	1208	14285
39	1248	14358
40	1286	14400
41	1324	14446
42	1363	14489
43	1403	14547
44	1443	14595
45	1480	14609
46	1514	14600
47	1549	14594
48	1583	14579
49	1617	14559
50	1651	14540
51	1685	14523
52	1720	14507
53	1755	14501
54	1776	14371
55	1812	14369
56	1847	14355
57	1882	14342
58	1917	14328
59	1951	14310
60	1986	14294
61	2020	14276
62	2052	14238
63	2086	14212
64	2121	14197
65	2155	14176
66	2190	14153
67	2202	13990
68	2217	13852
69	2253	13842
70	2287	13821
71	2321	13802
72	2355	13779
73	2389	13756
74	2423	13735
75	2458	13717
76	2493	13696
77	2527	13675
78	2562	13653
79	2597	13638
80	2632	13617
81	2666	13594
82	2701	13571
83	2717	13457
84	2728	13320
85	2763	13303
86	2798	13283
87	2833	13264
88	2867	13239
89	2902	13223
90	2937	13204
91	2971	13177
92	3003	13144
93	3039	13128
94	3074	13106
95	3109	13084
96	3143	13061
97	3178	13039
98	3212	13014
99	3233	12932
100	3267	12906
101	3279	12795
102	3314	12776
103	3349	12753
104	3383	12727
105	3417	12703
106	3452	12680
107	3487	12658
108	3522	12634
109	3557	12612
110	3580	12547
111	3614	12522
112	3649	12499
113	3684	12476
114	3719	12451
115	3754	12427
116	3770	12341
117	3804	12317
118	3839	12292
119	3874	12267
120	3907	12240
121	3942	12216
122	3977	12191
123	3998	12125
124	4032	12097
125	4066	12070
126	4100	12044
127	4134	12016
128	4169	11991
129	4204	11966
130	4238	11940
131	4273	11915
132	4310	11895
133	4345	11868
134	4379	11840
135	4413	11813
136	4449	11789
137	4485	11766
138	4517	11733
139	4552	11706
140	4588	11682
141	4623	11656
142	4657	11626
143	4692	11600
144	4713	11539
145	4748	11513
146	4782	11485
147	4818	11459
148	4852	11431
149	4868	11360
150	4903	11333
151	4937	11304
152	4972	11277
153	5006	11248
