iter	Passed	Remaining
0	21	218905
1	40	200391
2	57	191573
3	74	185139
4	91	183150
5	105	176128
6	122	175097
7	138	173503
8	155	172995
9	170	170382
10	187	170163
11	204	169988
12	221	169889
13	238	170008
14	251	167632
15	266	166419
16	283	166502
17	298	165797
18	314	165291
19	329	164254
20	343	163257
21	356	161744
22	372	161475
23	386	160827
24	399	159477
25	414	159135
26	429	158555
27	446	158949
28	461	158698
29	477	158696
30	492	158498
31	508	158456
32	524	158376
33	539	158023
34	554	157975
35	571	158245
36	587	158176
37	604	158357
38	617	157725
39	633	157667
40	647	157179
41	664	157481
42	680	157651
43	697	157838
44	713	157949
45	729	157934
46	746	157987
47	762	158100
48	776	157722
49	791	157432
50	808	157749
51	825	157922
52	843	158319
53	858	158042
54	874	158202
55	890	158179
56	907	158243
57	924	158477
58	943	158943
59	958	158738
60	973	158593
61	989	158655
62	1007	158874
63	1022	158765
64	1038	158737
65	1056	158968
66	1075	159379
67	1088	159046
68	1105	159152
69	1125	159727
70	1142	159751
71	1172	161639
72	1189	161821
73	1215	163029
74	1232	163053
75	1250	163330
76	1273	164148
77	1290	164131
78	1308	164287
79	1326	164521
80	1344	164594
81	1363	164900
82	1382	165179
83	1400	165307
84	1418	165444
85	1436	165591
86	1455	165851
87	1473	166006
88	1492	166253
89	1514	166736
90	1534	167085
91	1554	167359
92	1571	167444
93	1592	167779
94	1610	167924
95	1630	168171
96	1648	168330
97	1667	168517
98	1686	168629
99	1703	168644
100	1717	168357
101	1734	168297
102	1751	168263
103	1768	168279
104	1783	168036
105	1798	167897
106	1814	167749
107	1828	167488
108	1844	167354
109	1860	167266
110	1876	167219
111	1893	167152
112	1908	167027
113	1924	166929
114	1942	166970
115	1958	166847
116	1972	166612
117	1988	166503
118	2003	166397
119	2020	166325
120	2036	166267
121	2050	166009
122	2066	165918
123	2081	165801
124	2097	165663
125	2113	165658
126	2132	165786
127	2148	165711
128	2164	165660
129	2182	165692
130	2199	165674
131	2215	165653
132	2242	166396
133	2259	166339
134	2278	166469
135	2296	166545
136	2316	166787
137	2333	166742
138	2350	166752
139	2366	166666
140	2385	166808
141	2402	166771
142	2419	166799
143	2441	167088
144	2456	166945
145	2474	167043
146	2494	167184
147	2510	167131
148	2530	167331
149	2550	167492
150	2569	167574
151	2586	167578
152	2604	167595
153	2621	167621
154	2641	167759
155	2660	167889
156	2677	167887
157	2695	167906
158	2712	167911
159	2730	167954
160	2749	168011
161	2766	168022
162	2789	168326
163	2806	168298
164	2822	168253
165	2839	168206
166	2859	168356
167	2876	168318
168	2894	168387
169	2912	168425
170	2932	168547
171	2952	168725
172	2973	168896
173	2992	169006
174	3013	169166
175	3031	169232
176	3056	169637
177	3074	169627
178	3091	169643
179	3112	169782
180	3128	169722
181	3151	169994
182	3169	170028
183	3187	170046
184	3206	170098
185	3222	170041
186	3241	170094
187	3259	170134
188	3276	170093
189	3295	170137
190	3313	170160
191	3330	170122
192	3350	170239
193	3367	170240
194	3386	170270
195	3406	170407
196	3422	170330
197	3441	170384
198	3460	170424
199	3477	170411
200	3498	170568
201	3515	170534
202	3534	170597
203	3554	170685
204	3571	170631
205	3590	170688
206	3608	170703
207	3625	170672
208	3643	170701
209	3661	170685
210	3679	170718
211	3702	170959
212	3721	170977
213	3739	171007
214	3757	171015
215	3775	171000
216	3798	171238
217	3815	171208
218	3835	171298
219	3854	171333
220	3870	171271
221	3888	171276
222	3907	171322
223	3924	171261
224	3947	171497
225	3964	171450
226	3981	171416
227	3998	171353
228	4015	171328
229	4033	171335
230	4051	171321
231	4067	171263
232	4093	171592
233	4111	171585
234	4129	171601
235	4148	171643
236	4168	171715
237	4193	172005
238	4211	172019
239	4231	172064
240	4252	172180
241	4269	172152
242	4285	172087
243	4301	172009
244	4318	171956
245	4334	171880
246	4351	171832
247	4368	171786
248	4385	171734
249	4402	171689
250	4419	171660
251	4436	171629
252	4454	171606
253	4471	171559
254	4489	171559
255	4506	171521
256	4523	171494
257	4540	171440
258	4556	171377
259	4573	171316
260	4589	171261
261	4606	171199
262	4622	171147
263	4639	171089
264	4655	171029
265	4673	171015
266	4692	171056
267	4709	171003
268	4727	171006
269	4748	171113
270	4765	171082
271	4785	171140
272	4804	171178
273	4822	171192
274	4842	171255
275	4859	171197
276	4877	171193
277	4893	171140
278	4910	171087
279	4927	171048
280	4946	171100
281	4963	171053
282	4983	171125
283	5003	171167
284	5021	171172
285	5040	171208
286	5056	171142
287	5074	171124
288	5093	171154
289	5110	171105
290	5127	171088
291	5146	171099
292	5162	171045
293	5182	171077
294	5199	171053
295	5216	171014
296	5236	171064
297	5253	171025
298	5270	170997
299	5291	171093
300	5307	171037
301	5327	171081
302	5345	171073
303	5361	171013
304	5382	171078
305	5399	171068
306	5417	171050
307	5436	171078
308	5453	171041
309	5470	171000
310	5490	171037
311	5506	170985
312	5523	170953
313	5541	170931
314	5557	170877
315	5574	170835
316	5592	170842
317	5609	170792
318	5628	170812
319	5645	170782
320	5662	170732
321	5681	170763
322	5701	170803
323	5717	170745
324	5737	170797
325	5754	170773
326	5772	170770
327	5794	170876
328	5812	170868
329	5830	170847
330	5847	170821
331	5866	170826
332	5883	170806
333	5901	170778
334	5920	170801
335	5939	170817
336	5956	170799
337	5976	170846
338	5997	170932
339	6016	170946
340	6039	171075
341	6057	171060
342	6077	171099
343	6096	171133
344	6132	171628
345	6150	171603
346	6168	171595
347	6188	171632
348	6205	171611
349	6224	171613
350	6241	171592
351	6259	171573
352	6277	171549
353	6295	171530
354	6314	171548
355	6336	171652
356	6353	171624
357	6374	171680
358	6393	171690
359	6411	171683
360	6431	171724
361	6449	171712
362	6468	171739
363	6488	171754
364	6505	171728
365	6529	171867
366	6547	171860
367	6571	171990
368	6593	172086
369	6611	172090
370	6632	172134
371	6649	172097
372	6670	172160
373	6688	172142
374	6704	172094
375	6726	172158
376	6743	172117
377	6760	172087
378	6781	172138
379	6798	172098
380	6816	172103
381	6836	172119
382	6853	172086
383	6872	172091
384	6890	172086
385	6909	172087
