iter	F1	Logloss
0	0	0.4270428695
100	0.1314878893	0.1904360718
200	0.3072100313	0.1580409851
300	0.3734939759	0.1473519136
400	0.4023668639	0.1428304139
500	0.4117647059	0.1403815434
600	0.4105571848	0.1393253409
700	0.4482758621	0.1360778791
800	0.446991404	0.1350352609
900	0.4732394366	0.1342091482
1000	0.4817927171	0.1317908237
1100	0.4860335196	0.1301637662
1200	0.487394958	0.128719688
1300	0.487394958	0.1282128826
1400	0.5041551247	0.127442173
1500	0.5164835165	0.1264032871
1600	0.5286103542	0.1260269654
1700	0.5286103542	0.1257920546
1800	0.5286103542	0.1248610139
1900	0.5286103542	0.124430965
2000	0.5286103542	0.1238391211
2100	0.5286103542	0.1236003433
2200	0.5286103542	0.1233888065
2300	0.5326086957	0.1230994441
2400	0.5365853659	0.1228597324
2500	0.539083558	0.1214449515
2600	0.5430107527	0.1209496265
2700	0.5430107527	0.1207585543
2800	0.5430107527	0.120487807
2900	0.5430107527	0.1202941098
3000	0.5469168901	0.1202087307
3100	0.5430107527	0.1200655597
3200	0.5430107527	0.1199274736
3300	0.5430107527	0.119824552
3400	0.5469168901	0.1194798703
3500	0.5430107527	0.1193354934
3600	0.5469168901	0.1191330338
3700	0.5546666667	0.1183981366
3800	0.5546666667	0.1182554736
3900	0.550802139	0.1181705332
4000	0.5546666667	0.117889595
4100	0.5585106383	0.1176940247
4200	0.5699208443	0.1174305256
4300	0.5736842105	0.116994251
4400	0.5736842105	0.1167185634
4500	0.5774278215	0.1165464591
4600	0.5736842105	0.116431308
4700	0.5774278215	0.1159375246
4800	0.5774278215	0.1157981173
4900	0.5811518325	0.1155506969
5000	0.5811518325	0.1146428158
5100	0.5736842105	0.113780608
5200	0.5811518325	0.1130834265
5300	0.5885416667	0.1126720194
5400	0.5885416667	0.1123082203
5500	0.5885416667	0.1122250242
5600	0.5885416667	0.1118399961
5700	0.5885416667	0.111773437
5800	0.5885416667	0.1114645838
5900	0.5848563969	0.1110510885
6000	0.5848563969	0.1109046164
6100	0.5922077922	0.1107529671
6200	0.5958549223	0.1104594158
6300	0.5994832041	0.1102764411
6400	0.5922077922	0.1101388075
6500	0.5994832041	0.1100607687
6600	0.5958549223	0.109835476
6700	0.5994832041	0.1096924567
6800	0.6030927835	0.1091361839
6900	0.6030927835	0.1085956005
7000	0.5994832041	0.108196988
7100	0.6051282051	0.1078311677
7200	0.6051282051	0.1074309355
7300	0.6051282051	0.1072954617
7400	0.6086956522	0.1070465753
7500	0.612244898	0.1063427177
7600	0.6157760814	0.1057857056
7700	0.6157760814	0.1055438397
7800	0.6157760814	0.105329729
7900	0.6227848101	0.1050125953
8000	0.6227848101	0.1046609446
8100	0.6297229219	0.1045342711
8200	0.6297229219	0.1044326275
8300	0.6297229219	0.1043450358
8400	0.6297229219	0.1040768549
8500	0.6281407035	0.1039483554
8600	0.635	0.1034886663
8700	0.635	0.1031887018
8800	0.635	0.1031180829
8900	0.635	0.1028288645
9000	0.635	0.10233838
9100	0.63840399	0.1019785606
9200	0.6417910448	0.1018174945
9300	0.6417910448	0.1016015291
9400	0.6417910448	0.1015587627
9500	0.64	0.1012502649
9600	0.6365914787	0.100890636
9700	0.6365914787	0.1008398647
9800	0.6433915212	0.100534546
9900	0.6467661692	0.1004906638
9999	0.6467661692	0.100473166
