iter	Passed	Remaining
0	2	24618
1	6	32525
2	9	32782
3	13	33225
4	17	34238
5	19	32547
6	23	32878
7	26	33214
8	29	33120
9	33	33642
10	35	32417
11	39	32700
12	43	33040
13	46	33131
14	50	33695
15	53	33535
16	57	33679
17	60	33678
18	64	33769
19	67	33827
20	71	33854
21	74	33997
22	78	33999
23	82	34458
24	86	34329
25	89	34376
26	92	34247
27	95	34163
28	99	34315
29	102	34214
30	106	34225
31	109	34189
32	113	34261
33	117	34335
34	120	34349
35	124	34402
36	126	34123
37	130	34227
38	134	34254
39	137	34307
40	141	34298
41	144	34377
42	148	34414
43	151	34350
44	155	34368
45	158	34351
46	162	34444
47	165	34277
48	168	34246
49	171	34210
50	175	34167
51	178	34142
52	182	34179
53	184	33978
54	187	33863
55	190	33847
56	193	33836
57	198	33951
58	201	33913
59	205	33974
60	208	33982
61	211	33918
62	213	33734
63	217	33710
64	221	33794
65	224	33784
66	226	33624
67	230	33688
68	233	33649
69	237	33701
70	240	33679
71	244	33663
72	247	33709
73	251	33691
74	254	33732
75	257	33569
76	260	33593
77	264	33681
78	268	33684
79	271	33720
80	274	33594
81	277	33576
82	280	33567
83	284	33572
84	287	33563
85	291	33549
86	295	33652
87	298	33648
88	302	33652
89	305	33662
90	309	33650
91	312	33701
92	316	33678
93	320	33743
94	323	33748
95	327	33812
96	331	33815
97	334	33846
98	338	33855
99	341	33848
100	345	33848
101	348	33832
102	352	33832
103	356	33955
104	360	34002
105	364	33992
106	367	33991
107	370	33970
108	374	33950
109	377	33935
110	380	33909
111	383	33888
112	387	33870
113	390	33850
114	393	33833
115	397	33832
116	400	33816
117	403	33806
118	407	33805
119	410	33799
120	413	33783
121	416	33756
122	420	33737
123	423	33720
124	426	33695
125	429	33677
126	432	33652
127	436	33628
128	439	33611
129	442	33586
130	445	33562
131	448	33544
132	452	33533
133	455	33526
134	458	33513
135	462	33513
136	465	33496
137	468	33480
138	471	33470
139	475	33461
140	478	33457
141	481	33444
142	485	33440
143	488	33436
144	491	33423
145	495	33415
146	498	33409
147	501	33397
148	504	33375
149	508	33358
150	511	33344
151	514	33351
152	518	33346
153	521	33343
154	524	33333
155	528	33329
156	531	33319
157	534	33316
158	538	33306
159	541	33301
160	545	33311
161	549	33345
162	552	33333
163	555	33322
164	558	33305
165	561	33293
166	566	33335
167	569	33319
168	572	33309
169	575	33303
170	579	33303
171	582	33296
172	586	33300
173	589	33302
174	593	33298
175	596	33293
176	599	33280
177	602	33268
178	606	33256
179	609	33243
180	612	33240
181	616	33233
182	619	33226
183	622	33219
184	625	33211
185	629	33205
186	632	33198
187	635	33191
188	639	33182
189	642	33177
190	646	33199
191	649	33203
192	653	33191
193	656	33182
194	659	33173
195	663	33190
196	666	33180
197	670	33168
198	673	33167
199	676	33157
200	680	33160
201	683	33150
202	686	33146
203	690	33138
204	693	33131
205	696	33128
206	700	33122
207	703	33122
208	706	33120
209	710	33115
210	713	33111
211	716	33102
212	720	33091
213	723	33078
214	726	33064
215	729	33050
216	732	33043
217	736	33035
218	739	33028
219	742	33020
220	746	33012
221	749	33003
222	752	32999
223	755	32991
224	759	32983
225	762	32977
226	765	32977
227	769	32972
228	772	32966
229	775	32957
230	779	32949
231	782	32942
232	785	32945
233	789	32944
234	792	32941
235	796	32942
236	799	32928
237	802	32917
238	805	32906
239	809	32903
240	812	32895
241	815	32892
242	819	32895
243	822	32890
244	825	32886
245	829	32885
246	832	32886
247	836	32882
248	839	32880
249	842	32875
250	846	32871
251	849	32876
252	853	32893
253	857	32892
254	860	32889
255	863	32885
256	867	32877
257	870	32880
258	874	32875
259	877	32874
260	881	32876
261	887	32970
262	890	32971
263	894	32999
264	898	32990
265	901	32980
266	904	32972
267	908	32974
268	911	32969
269	914	32965
270	918	32957
271	921	32950
272	924	32938
273	927	32929
274	930	32921
275	934	32914
276	937	32905
277	940	32897
278	943	32887
279	947	32878
280	950	32886
281	954	32883
282	957	32877
283	960	32874
284	964	32869
285	967	32861
286	970	32852
287	973	32844
288	977	32840
289	980	32844
290	986	32921
291	990	32936
292	994	32934
293	997	32926
294	1000	32916
295	1003	32906
296	1007	32903
297	1010	32897
298	1013	32890
299	1017	32897
300	1023	32986
301	1027	32984
302	1033	33061
303	1036	33051
304	1041	33098
305	1046	33154
306	1053	33261
307	1059	33325
308	1075	33728
309	1085	33944
310	1099	34238
311	1106	34355
312	1114	34491
313	1121	34582
314	1127	34667
315	1134	34771
316	1141	34861
317	1146	34920
318	1152	34970
319	1159	35068
320	1165	35133
321	1172	35240
322	1178	35308
323	1183	35346
324	1190	35451
325	1196	35510
326	1202	35572
327	1208	35644
328	1215	35732
329	1224	35875
330	1231	35960
331	1237	36044
332	1244	36125
333	1251	36214
334	1258	36302
335	1264	36373
336	1271	36458
337	1277	36508
338	1283	36579
339	1290	36670
340	1296	36717
341	1302	36788
342	1308	36847
343	1315	36924
344	1320	36964
345	1426	39796
346	1437	39996
347	1442	40014
348	1448	40069
349	1459	40235
350	1481	40718
351	1484	40684
352	1487	40660
353	1491	40637
354	1511	41079
355	1518	41129
356	1521	41110
357	1525	41093
358	1529	41073
359	1533	41067
360	1537	41050
361	1541	41036
362	1548	41107
363	1555	41165
364	1561	41211
365	1565	41220
366	1570	41220
367	1573	41194
368	1578	41194
369	1581	41173
370	1586	41182
371	1589	41151
372	1596	41213
373	1616	41603
374	1623	41672
375	1629	41701
376	1635	41743
377	1660	42257
378	1667	42328
379	1671	42310
380	1675	42303
381	1679	42282
382	1682	42258
383	1686	42235
384	1690	42217
385	1699	42325
386	1704	42339
387	1710	42362
388	1716	42406
389	1719	42379
390	1723	42367
391	1727	42341
392	1730	42314
393	1734	42283
394	1738	42276
395	1743	42284
396	1747	42272
397	1751	42260
398	1756	42275
399	1761	42270
400	1764	42249
401	1768	42223
402	1772	42213
403	1776	42185
404	1780	42172
405	1783	42141
406	1787	42120
407	1791	42118
408	1796	42124
409	1800	42111
410	1805	42123
411	1810	42128
412	1813	42106
413	1817	42079
414	1821	42066
415	1824	42035
416	1827	42007
417	1831	41986
418	1837	42005
419	1842	42020
420	1846	42020
421	1853	42063
422	1857	42066
423	1862	42061
424	1865	42032
425	1869	42024
426	1873	41993
427	1876	41963
428	1879	41940
429	1883	41909
430	1886	41889
431	1890	41871
432	1894	41867
433	1898	41850
434	1903	41859
435	1908	41854
436	1911	41838
437	1915	41809
438	1919	41803
439	1922	41773
440	1925	41745
441	1929	41717
442	1932	41691
443	1936	41688
444	1941	41684
445	1945	41679
446	1950	41681
447	1953	41661
448	1957	41637
449	1961	41622
450	1964	41592
451	1968	41590
452	1972	41564
453	1975	41540
454	1979	41519
455	1982	41497
456	1987	41506
457	1991	41482
458	1995	41470
459	1998	41444
460	2002	41428
461	2005	41396
462	2008	41371
463	2011	41340
464	2014	41313
465	2018	41299
466	2021	41274
467	2025	41261
468	2029	41236
469	2033	41222
